fixture_id,round,home_team,away_team
317790,1,Galatasaray,Çorum FK
317789,1,Konyaspor,Çaykur Rizespor
317784,1,Gaziantep FK,Alanyaspor
317788,1,Gençlerbirliği,Fenerbahçe
317785,1,Kasımpaşa,Trabzonspor
317791,1,Beşiktaş,Eyüpspor
317787,1,Amed SK,Erzurumspor
317786,1,İstanbul Başakşehir,Kocaelispor
317792,1,Samsunspor,Göztepe
317801,2,Erzurumspor,Galatasaray
317796,2,Çaykur Rizespor,Samsunspor
317799,2,Fenerbahçe,Konyaspor
317798,2,Çorum FK,Kasımpaşa
317794,2,Eyüpspor,Gaziantep FK
317797,2,Göztepe,Gençlerbirliği
317795,2,Alanyaspor,Beşiktaş
317793,2,Trabzonspor,İstanbul Başakşehir
317800,2,Kocaelispor,Amed SK
317806,3,Gençlerbirliği,Erzurumspor
317802,3,Gaziantep FK,Çaykur Rizespor
317808,3,Galatasaray,Göztepe
317807,3,Konyaspor,Kocaelispor
317803,3,Eyüpspor,Alanyaspor
317804,3,İstanbul Başakşehir,Kasımpaşa
317810,3,Samsunspor,Fenerbahçe
317805,3,Amed SK,Trabzonspor
317809,3,Beşiktaş,Çorum FK
317816,4,Çorum FK,Eyüpspor
317811,4,Trabzonspor,Gençlerbirliği
317813,4,İstanbul Başakşehir,Galatasaray
317819,4,Erzurumspor,Konyaspor
317818,4,Kocaelispor,Samsunspor
317817,4,Fenerbahçe,Beşiktaş
317812,4,Kasımpaşa,Amed SK
317815,4,Göztepe,Gaziantep FK
317814,4,Çaykur Rizespor,Alanyaspor
317826,5,Galatasaray,Kocaelispor
317824,5,Gençlerbirliği,Kasımpaşa
317822,5,Alanyaspor,Göztepe
317821,5,Eyüpspor,Çaykur Rizespor
317823,5,Amed SK,İstanbul Başakşehir
317828,5,Samsunspor,Çorum FK
317827,5,Beşiktaş,Erzurumspor
317820,5,Gaziantep FK,Fenerbahçe
317825,5,Konyaspor,Trabzonspor
317837,6,Erzurumspor,Samsunspor
317832,6,Amed SK,Beşiktaş
317830,6,Kasımpaşa,Konyaspor
317829,6,Trabzonspor,Galatasaray
317835,6,Fenerbahçe,Eyüpspor
317831,6,İstanbul Başakşehir,Gençlerbirliği
317833,6,Göztepe,Çaykur Rizespor
317836,6,Kocaelispor,Gaziantep FK
317834,6,Çorum FK,Alanyaspor
317845,7,Beşiktaş,Kocaelispor
317842,7,Gençlerbirliği,Amed SK
317839,7,Eyüpspor,Göztepe
317844,7,Galatasaray,Kasımpaşa
317843,7,Konyaspor,İstanbul Başakşehir
317840,7,Alanyaspor,Erzurumspor
317838,7,Gaziantep FK,Çorum FK
317841,7,Çaykur Rizespor,Fenerbahçe
317846,7,Samsunspor,Trabzonspor
317848,8,Kasımpaşa,Samsunspor
317847,8,Trabzonspor,Beşiktaş
317855,8,Erzurumspor,Eyüpspor
317851,8,Gençlerbirliği,Galatasaray
317850,8,Amed SK,Konyaspor
317852,8,Çorum FK,Çaykur Rizespor
317854,8,Kocaelispor,Göztepe
317853,8,Fenerbahçe,Alanyaspor
317849,8,İstanbul Başakşehir,Gaziantep FK
317864,9,Samsunspor,Amed SK
317857,9,Eyüpspor,Kasımpaşa
317863,9,Beşiktaş,İstanbul Başakşehir
317856,9,Gaziantep FK,Erzurumspor
317860,9,Göztepe,Çorum FK
317861,9,Konyaspor,Gençlerbirliği
317862,9,Galatasaray,Fenerbahçe
317859,9,Çaykur Rizespor,Trabzonspor
317858,9,Alanyaspor,Kocaelispor
317869,10,Gençlerbirliği,Alanyaspor
317867,10,İstanbul Başakşehir,Samsunspor
317866,10,Kasımpaşa,Beşiktaş
317868,10,Amed SK,Eyüpspor
317870,10,Konyaspor,Galatasaray
317873,10,Erzurumspor,Çorum FK
317872,10,Kocaelispor,Çaykur Rizespor
317865,10,Trabzonspor,Gaziantep FK
317871,10,Fenerbahçe,Göztepe
317880,11,Galatasaray,Amed SK
317874,11,Gaziantep FK,Kasımpaşa
317878,11,Göztepe,İstanbul Başakşehir
317877,11,Çaykur Rizespor,Erzurumspor
317881,11,Beşiktaş,Gençlerbirliği
317882,11,Samsunspor,Konyaspor
317879,11,Çorum FK,Fenerbahçe
317876,11,Alanyaspor,Trabzonspor
317875,11,Eyüpspor,Kocaelispor
317889,12,Galatasaray,Samsunspor
317890,12,Kocaelispor,Fenerbahçe
317888,12,Konyaspor,Beşiktaş
317883,12,Trabzonspor,Eyüpspor
317885,12,İstanbul Başakşehir,Çorum FK
317886,12,Amed SK,Çaykur Rizespor
317891,12,Erzurumspor,Göztepe
317884,12,Kasımpaşa,Alanyaspor
317887,12,Gençlerbirliği,Gaziantep FK
317892,13,Gaziantep FK,Amed SK
317895,13,Çaykur Rizespor,Kasımpaşa
317893,13,Eyüpspor,İstanbul Başakşehir
317898,13,Fenerbahçe,Erzurumspor
317900,13,Samsunspor,Gençlerbirliği
317894,13,Alanyaspor,Konyaspor
317899,13,Beşiktaş,Galatasaray
317896,13,Göztepe,Trabzonspor
317897,13,Çorum FK,Kocaelispor
317909,14,Erzurumspor,Kocaelispor
