component,source,published_or_accessed,url,note
2026-27 fixture,Türkiye Futbol Federasyonu,2026-08-24,https://www.tff.org/default.aspx?pageID=198,"League membership, round pairings and official schedule"
2025-26 final table,Türkiye Futbol Federasyonu,2026-08-24,https://www.tff.org/default.aspx?pageID=1768,"Matches, points, goals for and goals against"
2026-27 team values,Transfermarkt,2026-08-24,https://www.transfermarkt.com.tr/super-lig/teilnehmer/pokalwettbewerb/TR1/saison_id/2026,"Squad market values used only as a weak prior"
2026-27 coaches,Transfermarkt and club announcements,2026-08-24,https://www.transfermarkt.com.tr/super-lig/trainer/pokalwettbewerb/TR1,"Coach snapshot; volatile field"
team previews,Mackolik and Sahadan,2026-08-24,https://www.mackolik.com/futbol,"Public season previews used to shape tactical priors"
Galatasaray profile,Mackolik,2026-08-24,https://arsiv.mackolik.com/Haber/268938/Yeni-sezona-on-bakis-Galatasaray,"Prior-season record and squad context"
Fenerbahçe profile,Mackolik,2026-08-24,https://www.mackolik.com/diger/haber/yeni-sezona-on-bakis-fenerbahce/8ab5b841-c929-4e2f-9afc-4c7730b987ce,"Coach and squad context"
Beşiktaş profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-besiktas/7803809d-dc5d-4a03-a86a-675730ca60d3,"Prior-season record and tactical context"
Trabzonspor profile,Mackolik,2026-08-24,https://www.mackolik.com/diger/haber/yeni-sezona-on-bakis-trabzonspor/cde1521c-ff1f-42a2-8451-0c70a689b60a,"Prior-season record, goal balance and away form"
İstanbul Başakşehir profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-basaksehir/1c24bdad-1f8c-4f78-bb89-140db80bc8aa,"Prior-season record, home form and attacking context"
Göztepe profile,Sahadan,2026-08-24,https://www.sahadan.com/haberler/futbol/yeni-sezona-on-bakis-goztepe/5d70ee54-d2ae-4031-861c-4fea18b30e6b,"Prior-season defensive and home record"
Samsunspor profile,Sahadan,2026-08-24,https://www.sahadan.com/haberler/futbol/yeni-sezona-on-bakis-samsunspor/b320813e-722e-4211-beac-da197e7f2f9d,"Prior-season record and schedule context"
Çorum FK profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-corum-fk/24d2ad74-e093-4948-9f56-e60243ee2973,"Promotion path and large squad turnover"
Çaykur Rizespor profile,Sahadan,2026-08-24,https://www.sahadan.com/haberler/futbol/yeni-sezona-on-bakis-rizespor/9831e2a3-3c80-46b6-b824-64dbd2b5acab,"Coach continuity and squad context"
Alanyaspor profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-alanyaspor/f95dfb79-3a6b-4f8e-995f-8956bf7777af,"Prior-season draw-heavy record"
Konyaspor profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-konyaspor/de63c5bc-27fb-4cae-83c3-d51332aeb014,"Prior-season record and defensive recruitment"
Kasımpaşa profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-kasimpasa/2d9d5e11-19e2-459b-9afe-6ee5f7c62796,"Young squad and preseason context"
Gaziantep FK profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-gaziantep-fk/9657d730-4532-4067-8168-84926970e8d9,"Prior-season record and coach change"
Amed SK profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-amed-sk/609c98be-e776-43e4-a978-384c22dbf722,"Promotion record, home form and squad turnover"
Erzurumspor profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-erzurumspor-fk/fd319056-067b-4362-8702-58a4359709e6,"Promotion record, goal balance and continuity"
Gençlerbirliği profile,Mackolik,2026-08-24,https://www.mackolik.com/diger/haber/yeni-sezona-on-bakis-genclerbirligi/58949511-1ec7-493b-be0d-313a0f9e3016,"Prior-season home/away split"
Kocaelispor profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-kocaelispor/439174c9-1ca3-4cd2-a9df-40186d50c0e8,"Prior-season record and low scoring output"
Eyüpspor profile,Mackolik,2026-08-24,https://www.mackolik.com/futbol/haber/yeni-sezona-on-bakis-eyupspor/1526ba39-da75-456e-aa76-80857956b810,"Prior-season record and squad rebuild"
Amed SK coach,Amed SK,2026-08-24,https://www.amedspor.com.tr/club/management,"Official staff page confirms Besnik Hasi"
Erzurumspor coach,Erzurumspor FK,2026-08-24,https://erzurumsporfk.org/2026/06/22/teknik-direktorumuz-serkan-ozbalta-ile-yeniden-anlastik/,"Official club announcement confirms Serkan Özbalta"
Eyüpspor coach,Türkiye Futbol Federasyonu,2026-08-24,https://www.tff.org/Default.aspx?antID=1154181&pageID=527,"TFF coach record confirms Özhan Pulat"
Kocaelispor-Amed match,Türkiye Futbol Federasyonu,2026-08-24,https://www.tff.org/Default.aspx?macId=317800&pageID=528,"Official fixture ID, kickoff and venue"
Kocaelispor-Amed preview,Özgür Kocaeli,2026-08-24,https://www.ozgurkocaeli.com.tr/haber/28571013/gel-bakalim-amed,"Probable lineups and opening-round context"
Kocaelispor absences,Haber7 / Selçuk İnan statement,2026-08-24,https://spor.haber7.com/super-lig/haber/3652645-selcuk-inan-acikladi-3-isim-amed-macinda-yok,"Petkovic, Jovanovic and Panzo unavailable; Susoho available"
Kocaelispor-Amed odds,User-provided İddaa snapshot,2026-08-24,,"Static odds supplied in the project conversation; not a live feed"
